,region,housing_type,consumption
365,Ang Mo Kio,1-room / 2-room,226.80421052631618
366,Ang Mo Kio,Overall,364.12526315789466
367,Ang Mo Kio,Private Apartments and Condominiums,367.1378947368412
368,Ang Mo Kio,4-room,348.6933333333334
369,Bishan,Public Housing,316.7852631578944
370,Bishan,5-room and Executive,334.69047619047706
371,Bishan,Landed Properties,869.5757894736844
372,Bishan,3-room,190.42380952380972
373,Bishan,Private Housing,344.46842105263204
374,Bishan,1-room / 2-room,206.95894736842092
375,Bishan,Overall,377.31368421052684
376,Bishan,Private Apartments and Condominiums,249.3189473684215
377,Bishan,4-room,313.8104761904765
378,North Region,Public Housing,351.9852631578947
379,North Region,5-room and Executive,405.29523809523744
380,North Region,Landed Properties,987.5526315789484
381,North Region,3-room,365.15999999999985
382,North Region,Private Housing,124.2589473684202
383,North Region,1-room / 2-room,270.1957894736843
384,North Region,Overall,368.1399999999999
385,North Region,Private Apartments and Condominiums,189.13999999999942
386,North Region,4-room,473.1342857142854
387,Central Region,Public Housing,305.4389473684208
388,Central Region,5-room and Executive,293.5178571428587
389,Central Region,Landed Properties,1583.8999999999996
390,Central Region,3-room,198.14666666666653
391,Central Region,Private Housing,277.3452631578948
392,Central Region,1-room / 2-room,211.93157894736805
393,Central Region,Overall,436.09157894736927
394,Central Region,Private Apartments and Condominiums,193.61789473684257
395,Central Region,4-room,306.04285714285743
396,Seletar,Public Housing,-1.0
397,Seletar,5-room and Executive,-1.0
398,Seletar,Landed Properties,824.4768421052631
399,Seletar,3-room,-1.0
400,Seletar,Private Housing,865.0157894736842
401,Seletar,1-room / 2-room,-1.0
402,Seletar,Overall,945.9378947368418
403,Seletar,Private Apartments and Condominiums,1564.1463157894686
404,Seletar,4-room,-1.0
405,Newton,Public Housing,-1.0
406,Newton,5-room and Executive,-1.0
407,Newton,Landed Properties,1229.6052631578932
408,Newton,3-room,-1.0
409,Newton,Private Housing,174.4494736842098
410,Newton,1-room / 2-room,-1.0
411,Newton,Overall,201.32842105263262
412,Newton,Private Apartments and Condominiums,153.5084210526329
413,Newton,4-room,-1.0
414,East Region,Public Housing,329.8115789473677
415,East Region,5-room and Executive,328.26309523809687
416,East Region,Landed Properties,988.2768421052624
417,East Region,3-room,250.0561904761903
418,East Region,Private Housing,212.1852631578986
419,East Region,1-room / 2-room,233.75368421052644
420,East Region,Overall,356.6442105263168
421,East Region,Private Apartments and Condominiums,169.22421052631762
422,East Region,4-room,330.4209523809527
423,Downtown,Public Housing,356.09578947368425
424,Downtown,5-room and Executive,-1.0
425,Downtown,Landed Properties,158.99157894737073
426,Downtown,3-room,-1.0
427,Downtown,Private Housing,341.6989473684225
428,Downtown,1-room / 2-room,-1.0
429,Downtown,Overall,603.185263157894
430,Downtown,Private Apartments and Condominiums,351.94210526315874
431,Downtown,4-room,288.2895238095243
